Delaware,01,"December 7, 1787"
Pennsylvania,02,"December 12, 1787"
New Jersey,03,"December 18, 1787"
Georgia,04,"January 2, 1788"
Connecticut,05,"January 9, 1788"
Massachusetts,06,"February 6, 1788"
Maryland,07,"April 28, 1788"
South Carolina,08,"May 23, 1788"
New Hampshire,09,"June 21, 1788"
Virginia,10,"June 25, 1788"
New York,11,"July 26, 1788"
North Carolina,12,"November 21, 1789"
Rhode Island,13,"May 29, 1790"
Vermont,14,"March 4, 1791"
Kentucky,15,"June 1, 1792"
Tennessee,16,"June 1, 1796"
Ohio,17,"March 1, 1803"
Louisiana,18,"April 30, 1812"
Indiana,19,"December 11, 1816"
Mississippi,20,"December 10, 1817"
Illinois,21,"December 3, 1818"
Alabama,22,"December 14, 1819"
Maine,23,"March 15, 1820"
Missouri,24,"August 10, 1821"
Arkansas,25,"June 15, 1836"
Michigan,26,"January 26, 1837"
Florida,27,"March 3, 1845"
Texas,28,"December 29, 1845"
Iowa,29,"December 28, 1846"
Wisconsin,30,"May 29, 1848"
California,31,"September 9, 1850"
Minnesota,32,"May 11, 1858"
Oregon,33,"February 14, 1859"
Kansas,34,"January 29, 1861"
West Virginia,35,"June 20, 1863"
Nevada,36,"October 31, 1864"
Nebraska,37,"March 1, 1867"
Colorado,38,"August 1, 1876"
North Dakota,39,"November 2, 1889"
South Dakota,40,"November 2, 1889"
Montana,41,"November 8, 1889"
Washington,42,"November 11, 1889"
Idaho,43,"July 3, 1890"
Wyoming,44,"July 10, 1890"
Utah,45,"January 4, 1896"
Oklahoma,46,"November 16, 1907"
New Mexico,47,"January 6, 1912"
Arizona,48,"February 14, 1912"
Alaska,49,"January 3, 1959"
Hawaii,50,"August 21, 1959"
